ProviderName,NHG,CountryCode,LoanType,ValidSince,Period,ProductName,Rate,CoverageEnd,CoverageStart,CheckDate
ING,N,NL,Lineaire hypotheek,2017-10-13,6 ,INGLineaire hypotheek,1.94,70,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,6 ,INGLineaire hypotheek,1.99,75,,2017-10-22
ING,Y,NL,Lineaire hypotheek,2017-10-13,7 ,INGLineaire hypotheek,1.87,,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,7 ,INGLineaire hypotheek,1.82,55,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,7 ,INGLineaire hypotheek,1.87,60,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,7 ,INGLineaire hypotheek,1.92,65,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,7 ,INGLineaire hypotheek,1.97,70,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,7 ,INGLineaire hypotheek,2.02,75,,2017-10-22
ING,Y,NL,Lineaire hypotheek,2017-10-13,10 ,INGLineaire hypotheek,2.04,,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,10 ,INGLineaire hypotheek,1.94,55,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,10 ,INGLineaire hypotheek,1.99,60,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,10 ,INGLineaire hypotheek,2.04,65,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,10 ,INGLineaire hypotheek,2.09,70,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,10 ,INGLineaire hypotheek,2.14,75,,2017-10-22
ING,Y,NL,Lineaire hypotheek,2017-10-13,12 ,INGLineaire hypotheek,2.6,,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,12 ,INGLineaire hypotheek,2.55,55,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,12 ,INGLineaire hypotheek,2.6,60,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,12 ,INGLineaire hypotheek,2.65,65,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,12 ,INGLineaire hypotheek,2.7,70,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,12 ,INGLineaire hypotheek,2.75,75,,2017-10-22
ING,Y,NL,Lineaire hypotheek,2017-10-13,15 ,INGLineaire hypotheek,2.65,,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,15 ,INGLineaire hypotheek,2.6,55,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,15 ,INGLineaire hypotheek,2.65,60,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,15 ,INGLineaire hypotheek,2.7,65,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,15 ,INGLineaire hypotheek,2.75,70,,2017-10-22
